# J S K mF XI Energy_MHz
1 +1 +1.0 +1.5 1 0.00000000
1 +1 +1.0 +0.5 1 0.00544099
1 +1 +1.0 -0.5 1 0.01161004
1 +1 +1.0 -1.5 1 0.01938256
1 +1 +1.0 -0.5 2 0.04289286
1 +1 +1.0 +0.5 2 0.04500724
1 +1 +0.0 +2.5 1 142813.55232612
1 +1 +0.0 +1.5 1 142813.56150585
1 +1 +0.0 +0.5 1 142813.57110884
1 +1 +0.0 -0.5 1 142813.58113299
1 +1 +0.0 -1.5 1 142813.59152929
1 +1 +0.0 -2.5 1 142813.60224457
1 +1 +0.0 +1.5 2 142813.61559668
1 +1 +0.0 +0.5 2 142813.62437664
1 +1 +0.0 -0.5 2 142813.63705333
1 +1 +0.0 -1.5 2 142813.65081957
1 +1 +0.0 +0.5 3 142813.65678172
1 +1 +0.0 -0.5 3 142813.68006456
2 +1 +2.0 +2.5 1 906028.51057830
2 +1 +2.0 +1.5 1 906028.51483780
2 +1 +2.0 +0.5 1 906028.51926201
2 +1 +2.0 -0.5 1 906028.52389432
2 +1 +2.0 -1.5 1 906028.52880138
2 +1 +2.0 -2.5 1 906028.53409547
2 +1 +2.0 -1.5 2 906028.57716934
2 +1 +2.0 -0.5 2 906028.57798177
2 +1 +2.0 +0.5 2 906028.57851944
2 +1 +2.0 +1.5 2 906028.57884901
0 -1 +0.0 +1.5 1 1134822.94106411
0 -1 +0.0 +0.5 1 1134822.95639200
0 -1 +0.0 -0.5 1 1134822.97171989
0 -1 +0.0 -1.5 1 1134822.98704778
2 +1 +1.0 +2.5 1 1334121.27966640
2 +1 +1.0 +1.5 1 1334121.28387420
2 +1 +1.0 +0.5 1 1334121.28824787
2 +1 +1.0 -0.5 1 1334121.29283128
2 +1 +1.0 -1.5 1 1334121.29769192
2 +1 +1.0 -2.5 1 1334121.30294377
2 +1 +1.0 -1.5 2 1334121.34603536
2 +1 +1.0 -0.5 2 1334121.34692125
2 +1 +1.0 +0.5 2 1334121.34752992
2 +1 +1.0 +1.5 2 1334121.34792885
1 -1 +1.0 +1.5 1 1655832.00000000
1 -1 +1.0 +0.5 1 1655832.00544099
1 -1 +1.0 -0.5 1 1655832.01161004
1 -1 +1.0 -1.5 1 1655832.01938256
1 -1 +1.0 -0.5 2 1655832.04289286
1 -1 +1.0 +0.5 2 1655832.04500724
3 +1 +3.0 +4.5 1 2193342.40664299
3 +1 +3.0 +3.5 1 2193342.41274781
3 +1 +3.0 +2.5 1 2193342.41893764
3 +1 +3.0 +1.5 1 2193342.42521632
3 +1 +3.0 +0.5 1 2193342.43158781
3 +1 +3.0 -0.5 1 2193342.43805603
3 +1 +3.0 -1.5 1 2193342.44462487
3 +1 +3.0 -2.5 1 2193342.45129801
3 +1 +3.0 -3.5 1 2193342.45807888
3 +1 +3.0 -4.5 1 2193342.46497052
3 +1 +3.0 +3.5 2 2193342.51720237
3 +1 +3.0 +2.5 2 2193342.52175627
3 +1 +3.0 +1.5 2 2193342.52648191
3 +1 +3.0 +0.5 2 2193342.53140587
3 +1 +3.0 -0.5 2 2193342.53655941
3 +1 +3.0 -1.5 2 2193342.54197823
3 +1 +3.0 -2.5 2 2193342.54770000
3 +1 +3.0 -3.5 2 2193342.55375595
3 +1 +3.0 +2.5 3 2193342.60716568
3 +1 +3.0 +1.5 3 2193342.60864826
3 +1 +3.0 +0.5 3 2193342.61036050
