Type I_index Init_J Init_S Init_K Init_mF Init_XI F_index Final_J Final_S Final_K Final_mF Final_XI Rabi_Rate_Real Rabi_Rate_Imag
sigma+ 211 4 1 +4.0 +2.5 2 210 4 1 +4.0 +3.5 2 -5.10697597e-24 5.72055924e-06
sigma+ 293 4 -1 +4.0 +2.5 2 292 4 -1 +4.0 +3.5 2 5.72055924e-06 2.14450516e-23
sigma+ 283 4 -1 +4.0 +3.5 1 282 4 -1 +4.0 +4.5 1 -2.11631600e-23 -5.55017935e-06
sigma+ 201 4 1 +4.0 +3.5 1 200 4 1 +4.0 +4.5 1 -5.55017934e-06 4.56260117e-24
sigma+ 299 4 -1 +4.0 -3.5 2 298 4 -1 +4.0 -2.5 2 4.28489829e-24 5.55015224e-06
sigma+ 217 4 1 +4.0 -3.5 2 216 4 1 +4.0 -2.5 2 5.55015223e-06 1.32272577e-24
sigma+ 202 4 1 +4.0 +2.5 1 201 4 1 +4.0 +3.5 1 -7.28484233e-24 5.50108850e-06
sigma+ 284 4 -1 +4.0 +2.5 1 283 4 -1 +4.0 +3.5 1 5.50108850e-06 1.84630127e-23
sigma+ 48 3 1 +3.0 +4.5 1 232 4 1 +3.0 +5.5 1 5.43605054e-06 0.00000000e+00
sigma+ 172 3 -1 +3.0 +4.5 1 336 4 -1 +3.0 +5.5 1 5.43605054e-06 0.00000000e+00
sigma+ 243 4 1 +3.0 -5.5 1 57 3 1 +3.0 -4.5 1 -5.43605054e-06 0.00000000e+00
sigma+ 347 4 -1 +3.0 -5.5 1 181 3 -1 +3.0 -4.5 1 -5.43605054e-06 0.00000000e+00
sigma+ 290 4 -1 +4.0 -3.5 1 289 4 -1 +4.0 -2.5 1 1.71469927e-23 5.35102481e-06
sigma+ 208 4 1 +4.0 -3.5 1 207 4 1 +4.0 -2.5 1 5.35102480e-06 -1.17405581e-23
sigma+ 209 4 1 +4.0 -4.5 1 208 4 1 +4.0 -3.5 1 -5.27284201e-06 -2.86439537e-23
sigma+ 291 4 -1 +4.0 -4.5 1 290 4 -1 +4.0 -3.5 1 4.02113128e-23 -5.27284200e-06
sigma+ 212 4 1 +4.0 +1.5 2 211 4 1 +4.0 +2.5 2 -5.09096815e-06 1.20114358e-23
sigma+ 294 4 -1 +4.0 +1.5 2 293 4 -1 +4.0 +2.5 2 -1.79106390e-23 -5.09096814e-06
sigma+ 18 2 1 +2.0 +2.5 1 86 3 1 +2.0 +3.5 1 5.01279362e-06 -1.57193440e-23
sigma+ 76 2 -1 +2.0 +2.5 1 218 3 -1 +2.0 +3.5 1 -1.86411122e-23 -5.01279362e-06
sigma+ 93 3 1 +2.0 -3.5 1 23 2 1 +2.0 -2.5 1 -2.05498417e-23 5.01279362e-06
sigma+ 225 3 -1 +2.0 -3.5 1 81 2 -1 +2.0 -2.5 1 -1.93237807e-23 5.01279362e-06
sigma+ 86 3 1 +2.0 +3.5 1 300 4 1 +2.0 +4.5 1 -4.74497392e-06 -2.28699186e-23
sigma+ 218 3 -1 +2.0 +3.5 1 372 4 -1 +2.0 +4.5 1 4.74497392e-06 1.41815620e-23
sigma+ 381 4 -1 +2.0 -4.5 1 225 3 -1 +2.0 -3.5 1 -2.58836672e-23 -4.74497392e-06
sigma+ 309 4 1 +2.0 -4.5 1 93 3 1 +2.0 -3.5 1 -4.74497392e-06 3.02051866e-24
